NUTS_ID,Country_ID,osm_banks,osm_share,ecb_offices,ecb_year,branches_cal,pop,branches_per10k,iubk,iubk_src,access_draft
HU22,HU,202,0.12841703750794659,1300,2025,166.94214876033055,974617,1.712900029040439,67.88,nuts2,0.6140226377085447
HU23,HU,160,0.101716465352829,1300,2025,132.2314049586777,845970,1.563074399312951,62.09,nuts2,0.6578682458921274
HU31,HU,144,0.09154481881754609,1300,2025,119.00826446280992,1072232,1.1099115160040915,62.62,nuts2,0.6785718030385861
HU32,HU,206,0.1309599491417673,1300,2025,170.2479338842975,1390406,1.224447635325923,60.74,nuts2,0.6841692067537068
HU33,HU,197,0.12523839796567068,1300,2025,162.80991735537188,1183765,1.3753567418818082,64.42,nuts2,0.6533539442378992
IE04,IE,163,0.19975490196078433,873,2025,174.38602941176472,958925,1.8185575452904525,94.7,nuts2,0.4420724697152868
IE05,IE,305,0.3737745098039216,873,2025,326.30514705882354,1805942,1.8068417870497697,94.33,nuts2,0.44498771672956483
IE06,IE,348,0.4264705882352941,873,2025,372.30882352941177,2675411,1.3915948746918203,96.01,nuts2,0.45655084653505784
ITC1,IT,1239,0.08904060366510959,19182,2025,1707.976859504132,4251868,4.017003490005174,62.05,nuts2,0.5282023836366762
ITC2,IT,52,0.00373697448796263,19182,2025,71.68264462809917,122532,5.850116265799886,65.16,nuts2,0.411864768249639
ITC3,IT,523,0.037585339561624145,19182,2025,720.9619834710744,1510143,4.774130552345536,63.58,nuts2,0.4786290246397439
ITC4,IT,2652,0.19058569888609414,19182,2025,3655.8148760330578,10033918,3.6434569985852567,66.67,nuts2,0.5193218919086287
ITF1,IT,256,0.018397412863816028,19182,2025,352.89917355371904,1269118,2.780664788882665,50.51,nuts2,0.6652348565177758
ITF2,IT,54,0.003880704275961193,19182,2025,74.43966942148761,287814,2.586381114938384,44.31,nuts2,0.7139772360633649
ITF3,IT,560,0.04024434063959756,19182,2025,771.9669421487604,5582337,1.3828741298648943,37,nuts2,0.8230341187121761
ITF4,IT,532,0.03823212360761768,19182,2025,733.3685950413224,3877395,1.8913951120309442,45.52,nuts2,0.7432653623081759
ITF5,IT,73,0.005246137261947539,19182,2025,100.63140495867769,530004,1.8986914241907171,40.62,nuts2,0.7732723381860594
ITF6,IT,184,0.013223140495867768,19182,2025,253.64628099173552,1834646,1.3825352737897967,35.41,nuts2,0.832914358124917
ITG1,IT,647,0.046496586417535034,19182,2025,891.897520661157,4787390,1.8630141280763777,44.28,nuts2,0.7524592393133211
ITG2,IT,430,0.03090190441969098,19182,2025,592.7603305785124,1562381,3.793955063320101,56.53,nuts2,0.5742497649626597
ITH1,IT,301,0.021631333093783688,19182,2025,414.9322314049587,539679,7.688500597669331,63.15,nuts2,0.3270059167369558
ITH2,IT,386,0.027739849083722602,19182,2025,532.1057851239669,546573,9.735310473147537,70.93,nuts2,0.1703882892941322
ITH3,IT,1481,0.10643190801293569,19182,2025,2041.5768595041322,4853472,4.206425543413318,60.98,nuts2,0.5248110449912778
ITH4,IT,522,0.03751347466762486,19182,2025,719.5834710743801,1193284,6.030278383640274,64.57,nuts2,0.4059863636773142
